property_type,borough,surface_covered_in_m2,price_per_m2,lat,lon,price_aprox_usd
house,Iztapalapa,80.0,18900.0,19.31033,-99.068557,79661.96
apartment,Tlalpan,100.0,9266.67,19.279771,-99.234597,48822.82
apartment,Miguel Hidalgo,87.0,50758.62069,19.432657,-99.177444,232663.51
apartment,Benito Juárez,100.0,31500.0,19.367025,-99.170349,166001.78
house,Álvaro Obregón,205.0,10178.85854,19.340909,-99.22511,109939.09
house,Gustavo A. Madero,144.0,11111.11111,19.509359,-99.093272,84298.37
house,Miguel Hidalgo,304.0,14467.43421,19.432901,-99.213075,231775.37
apartment,Benito Juárez,83.0,39425.3012,19.3794059,-99.1591446,172446.86
apartment,Benito Juárez,103.0,12233.00971,19.36269,-99.150565,66384.96
house,Cuauhtémoc,530.0,9224.150943,19.452952,-99.158166,257634.76
house,Álvaro Obregón,90.0,7849.411111,19.342911,-99.224472,37229.03
house,Gustavo A. Madero,120.0,18583.33333,19.491083,-99.07564,117490.85
apartment,Iztacalco,56.0,24017.85714,19.4024128,-99.0953907,70880.12
apartment,Benito Juárez,80.0,16187.5,19.35782,-99.149406,68228.99
apartment,Azcapotzalco,60.0,7666.666667,19.504985,-99.208557,24235.78
apartment,Benito Juárez,120.0,40833.33333,19.376792,-99.153132,258163.77
house,Venustiano Carranza,220.0,7727.272727,19.433895,-99.091159,89567.02
apartment,Coyoacán,50.0,35736.0,19.354219,-99.126244,94140.2
apartment,Cuauhtémoc,16.0,41376.5625,19.439716,-99.152892,34879.76
house,Gustavo A. Madero,90.0,7850.0,19.543273,-99.148777,37223.0
house,Tlalpan,150.0,16666.66667,19.2690778853,-99.2035388947,131747.44
apartment,Benito Juárez,90.0,29988.88889,19.367728,-99.156645,142200.81
apartment,Benito Juárez,90.0,16111.11111,19.400785,-99.147419,76395.4
apartment,Tlalpan,,,19.2745241,-99.1515694,149438.25
apartment,Álvaro Obregón,0.0,,19.376482,-99.2587951,222389.68
apartment,Iztacalco,254.0,9806.929134,,,131239.92
apartment,Benito Juárez,190.0,25789.47368,19.375658,-99.186109,258163.77
house,Coyoacán,263.0,22053.23194,19.307427366,-99.1170322895,305654.07
apartment,Benito Juárez,114.0,15535.66667,19.39177,-99.159996,93311.24
apartment,Álvaro Obregón,65.0,11710.35385,19.366632,-99.1979,40103.52
apartment,Iztacalco,80.0,16150.0,19.400731,-99.125466,68070.93
apartment,Cuajimalpa de Morelos,83.0,45000.0,,,196784.01
house,Gustavo A. Madero,445.0,4966.292135,19.469479,-99.104805,116437.12
apartment,Iztapalapa,61.0,12262.29508,19.337163,-99.080899,39409.48
house,Xochimilco,124.0,30241.93548,19.279143,-99.130161,197574.31
house,Álvaro Obregón,60.0,15816.66667,19.361606,-99.201739,49999.47
apartment,Cuauhtémoc,,,19.4517419505,-99.1570790112,38987.99
house,Iztapalapa,200.0,16750.0,19.374413,-99.105499,176499.72
apartment,Cuauhtémoc,55.0,15454.54545,19.435666,-99.14973,44794.13
house,Venustiano Carranza,200.0,19250.0,19.412011,-99.106233,202842.96
